PAYLOAD,FPORT
0012000800000DB6,2
001A000B000E0DB6,2
0025001400140DB6,2
0036001E00140DB6,2
0044002500190DB6,2
00580027001E0DB6,2
00720028001E0DB6,2
00760033002B0DB6,2
00820042002D0DB6,2
008F0044003A0DB6,2
009C004F003F0DB6,2
00B4004F00440DB6,2
00C5005700480DB6,2
00D7005F004B0DB6,2
00F30060004D0DB6,2
0113006C004E0DB6,2
01340077004F0DB6,2
01530086004F0DB6,2
015C008F00570DB6,2
016D0091005F0DB6,2
017B009600670DB6,2
0190009B00670DB6,2
019C00A000720DB6,2
01AD00AD00720DB6,2
01BF00B900720DB6,2
01D000C300750DB6,2
01DD00CB007D0DB6,2
01EA00D400890DB6,2
020300DA008C0DB6,2
021A00DE00940DB6,2
023200E800960DB6,2
024E00E9009C0DB6,2
02540104009F0DB6,2
0274010700A10DB6,2
0286011500A60DB6,2
0295011B00B60DB6,2
02AE012700BB0DB6,2
02C3013800C00DB6,2
02E6013B00C50DB6,2
0302013C00D30DB6,2
032B014200D40DB6,2
0346014700E40DB6,2
0362014E00F10DB6,2
0375015800F10DB6,2
0385015B00FA0DB6,2
038D016901000DB6,2
038F018101030DB6,2
03A3018801040DB6,2
03BC018F011F0DB6,2
03E0019401320DB6,2
040A01A601320DB6,2
041901AD013F0DB6,2
042F01B601430DB6,2
044201C201460DB6,2
044E01D5014B0DB6,2
045901DD015B0DB6,2
046A01E201620DB6,2
047801E9016A0DB6,2
047F01FD016E0DB6,2
048E020601740DB6,2
04950207018A0DB6,2
04AA0212018D0DB6,2
04B1022901910DB6,2
04D3022901910DB6,2
04E9023401930DB6,2
04FC023F01990DB6,2
05170248019F0DB6,2
051D026401A70DB6,2
0524027101BD0DB6,2
0542027B01BE0DB6,2
0555028F01C10DB6,2
0568029F01C80DB6,2
057902AC01D40DB6,2
058702BF01F10DB6,2
05A002E301F30DB6,2
05BB030401F60DB6,2
05CB030501FF0DB6,2
05D2031402040DB6,2
05E9031702060DB6,2
0600031902090DB6,2
060B0329020A0DB6,2
06230330020D0DB6,2
0637033702150DB6,2
0652033E02160DB6,2
066A034802170DB6,2
0678035C02170DB6,2
068A0361021A0DB6,2
06920371021B0DB6,2
06A70375021B0DB6,2
06B7037A021F0DB6,2
06C0038402260DB6,2
06C4039C02290DB6,2
06DB039C02310DB6,2
06F7039E02340DB6,2
070703A5023E0DB6,2
071903B202400DB6,2
073D03B902440DB6,2
076903BA02470DB6,2
078303BD025A0DB6,2
079303D6025E0DB6,2
079C03DE027A0DB6,2
07B103EA02880DB6,2
07D103F0028E0DB6,2
07EF03F302980DB6,2
07FE040702A10DB6,2
0811041D02A30DB6,2
0820043D02A70DB6,2
082E045D02AB0DB6,2
085B045D02B10DB6,2
086E046602C10DB6,2
0893046B02C30DB6,2
08B8046E02C70DB6,2
08D0047802CA0DB6,2
08DB048402D90DB6,2
08E9049A02DA0DB6,2
0909049D02DC0DB6,2
091604A602F10DB6,2
092F04B702F40DB6,2
094404CB02F80DB6,2
096B04D102F80DB6,2
097F04D602FC0DB6,2
098C04E103010DB6,2
09A104E203090DB6,2
09A804EE03130DB6,2
09BD04F803130DB6,2
